Name,BirthDate,CurrentDate,CurrentAge,Gender,Address,Contact_URL,Url,Phone,Party,DateInOffice,EndOfTerm,YearsInOffice,AgeAtTakingOfficeYear,StateAbb,State,District,OfficeAddress,Position,YearNextElection,BelieveClimateChange,Quote,QuoteSource,QuoteURL
Susan M. Collins,7-Dec-52,15-Dec-16,64,F,413 Dirksen Senate Office Building Washington DC 20510,http://www.collins.senate.gov/public/index.cfm/email,https://www.collins.senate.gov,202-224-2523,Republican,7-Jan-97,3-Jan-21,19,44,ME,Maine,,413 Dirksen Senate Office Building,sen,2020,Yes,,,
Susan W. Brooks,25-Aug-60,15-Dec-16,56,F,1505 Longworth HOB; Washington DC 20515-1405,https://susanwbrooks.house.gov/contact/email-me,http://susanwbrooks.house.gov,202-225-2276,Republican,3-Jan-13,3-Jan-17,3,52,IN,Indiana,6,1505 Longworth House Office Building,rep,2018,No,,,
Suzan K. DelBene,17-Feb-62,15-Dec-16,54,F,318 Cannon HOB; Washington DC 20515-4701,http://delbene.house.gov/contact-me/email-me,http://delbene.house.gov,202-225-6311,Democratic,13-Nov-12,3-Jan-17,4,50,WA,Washington,2,318 Cannon House Office Building,rep,2018,Yes,,,
Suzanne Bonamici,14-Oct-54,15-Dec-16,62,F,439 Cannon HOB; Washington DC 20515-3701,https://bonamici.house.gov/contact-me/email-me,http://bonamici.house.gov,202-225-0855,Democratic,7-Feb-12,3-Jan-17,4,57,OR,Oregon,2,439 Cannon House Office Building,rep,2018,Yes,,,
Tammy Baldwin,11-Feb-62,15-Dec-16,54,F,717 Hart Washington DC 20510,http://www.baldwin.senate.gov/contact,https://www.baldwin.senate.gov,202-224-5653,Democratic,6-Jan-99,3-Jan-19,17,36,WI,Wisconsin,,717 Hart,sen,2018,Yes,,,
Tammy Duckworth,12-Mar-68,15-Dec-16,48,F,104 Cannon HOB; Washington DC 20515-1308,https://duckworth.house.gov/contact/email-me,http://duckworth.house.gov,202-225-3711,Democratic,3-Jan-13,3-Jan-17,3,44,IL,Illinois,9,104 Cannon House Office Building,rep,2018,Yes,,,
Ted Cruz,22-Dec-70,15-Dec-16,45,M,404 Russell Senate Office Building Washington DC 20510,http://www.cruz.senate.gov/?p=email_senator,https://www.cruz.senate.gov,202-224-5922,Republican,3-Jan-13,3-Jan-19,3,42,TX,Texas,,404 Russell Senate Office Building,sen,2018,No,"The last 15 years, there has been no recorded warming. Contrary to all the theories that they are expounding, there should have been warming over the last 15 years. It hasn't happened. You know, back in the '70s ‹ I remember the '70s, we were told there was global cooling. And everyone was told global cooling was a really big problem. And then that faded. Sen. Cruz has continued to raise doubts about climate satellite data, and he held a Senate hearing titled  Data or Dogma: Promoting Open Inquiry in the Debate over the Magnitude of Human Impact on Earth's Climate.","New Republic, 11/6/14 ||| Washington Post, 1/29/16",http://www.newrepublic.com/article/120180/climate-denier-ted-cruz-may-lead-senate-science-subcommittee ||| https://www.washingtonpost.com/news/energy-environment/wp/2016/01/29/ted-cruz-keeps-saying-that-satellites-dont-show-warming-heres-the-problem/
Ted Lieu,29-Mar-69,15-Dec-16,47,M,415 Cannon HOB; Washington DC 20515-0533,,https://lieu.house.gov,202-225-3976,Democratic,6-Jan-15,3-Jan-17,1,45,CA,California,34,415 Cannon House Office Building,rep,2018,Yes,,,
Ted Poe,10-Sep-48,15-Dec-16,68,M,2412 Rayburn HOB; Washington DC 20515-4302,https://poe.house.gov/index.cfm/contact-form#form_D05B44B5-B782-4DC7-BED6-FF0C90951FFF,https://poe.house.gov,202-225-6565,Republican,4-Jan-05,3-Jan-17,11,56,TX,Texas,3,2412 Rayburn House Office Building,rep,2018,No,"The consensus has been for some time that global warming, climate change, continues because man is the perpetrator. Now we are beginning to learn that may not be true, that there is not a consensus that there is global warming or climate change. We now have heard about Climategate, where the expert scientists hid emails in England that disagreed with the so-called consensus that there is global warming and global climate change. We have heard now new evidence that even NASA is involved in not revealing evidence that contradicts climate change.","Congressional Record, 12/15/09",https://www.gpo.gov/fdsys/pkg/CREC-2009-12-15/html/CREC-2009-12-15-pt1-PgH14948.htm
Ted S. Yoho,13-Apr-55,15-Dec-16,61,M,511 Cannon HOB; Washington DC 20515-0903,https://yoho.house.gov/contact/email-me,http://yoho.house.gov,202-225-5744,Republican,3-Jan-13,3-Jan-17,3,57,FL,Florida,4,511 Cannon House Office Building,rep,2018,No,"When asked by ThinkProgressÍs Scott Keyes if climate change was caused by human action Yoho said, ñNo. I think itÍs a natural occurrence. I think we need to be good stewards of the resources we have and we need to get better, which we have, through technology and innovation.î","ThinkProgress, 4/15/14",http://thinkprogress.org/climate/2014/04/15/3426668/ted-yoho-climate-denier/
Terri A. Sewell,1-Jan-65,15-Dec-16,51,F,1133 Longworth HOB; Washington DC 20515-0107,https://sewell.house.gov/email-me,https://sewell.house.gov,202-225-2665,Democratic,5-Jan-11,3-Jan-17,5,46,AL,Alabama,8,1133 Longworth House Office Building,rep,2018,Yes,,,
Thad Cochran,7-Dec-37,15-Dec-16,79,M,113 Dirksen Senate Office Building Washington DC 20510,http://www.cochran.senate.gov/public/index.cfm/email-me,http://www.cochran.senate.gov,202-224-5054,Republican,3-Jan-73,3-Jan-21,43,35,MS,Mississippi,,113 Dirksen Senate Office Building,sen,2020,No,,,
Theodore E. Deutch,7-May-66,15-Dec-16,50,M,2447 Rayburn HOB; Washington DC 20515-0921,https://teddeutch.house.gov/forms/writeyourrep/default.aspx,http://teddeutch.house.gov,202-225-3001,Democratic,15-Apr-10,3-Jan-17,6,43,FL,Florida,22,2447 Rayburn House Office Building,rep,2018,Yes,,,
Thom Tillis,30-Aug-60,15-Dec-16,56,M,185 Dirksen Senate Office Building Washington DC 20510,,http://www.tillis.senate.gov,202-224-6342,Republican,6-Jan-15,3-Jan-21,1,54,NC,North Carolina,,185 Dirksen Senate Office Building,sen,2020,No,"During the first Republican primary debate in North Carolina, the moderator asked all four candidates, including Tillis, 'Is climate change a fact?' The questioned prompted some laughter from the audience as well as several candidates. All four then answered simply, 'no.'","ThinkProgress, 4/23/14",http://thinkprogress.org/climate/2014/04/23/3429756/north-carolina-gop-senate-candidates-climate-deniers/
Thomas J. Rooney,21-Nov-70,15-Dec-16,46,M,2160 Rayburn HOB; Washington DC 20515-0917,https://rooney.house.gov/email-me,https://rooney.house.gov,202-225-5792,Republican,6-Jan-09,3-Jan-17,7,38,FL,Florida,18,2160 Rayburn House Office Building,rep,2018,No,,,
Thomas MacArthur,16-Oct-60,15-Dec-16,56,M,506 Cannon HOB; Washington DC 20515-3003,,https://macarthur.house.gov,202-225-4765,Republican,6-Jan-15,3-Jan-17,1,54,NJ,New Jersey,4,506 Cannon House Office Building,rep,2018,No,,,
Thomas Massie,13-Jan-71,15-Dec-16,45,M,314 Cannon HOB; Washington DC 20515-1704,http://massieforms.house.gov/contact/,http://massie.house.gov,202-225-3465,Republican,13-Nov-12,3-Jan-17,4,41,KY,Kentucky,5,314 Cannon House Office Building,rep,2018,No,"Rep. Thomas Massie challenged President Obama to roll out the proof that humans have played a hand in climate change. Massie said he was disappointed that the president in his second inaugural address blamed droughts on human activity and accused some of denying the evidence of scientists, the Washington Times reported. As somebody with a science-type background, I took offense at that, Mr. Massie said during a panel meeting billed as Conversations With Conservatives. I would challenge him to show us the linkage ‹ the undeniable linkage ‹ between droughts and the change of weather, and some kind of human activity.","Washington Times Inside Politics Blog, 1/22/13",http://www.washingtontimes.com/blog/inside-politics/2013/jan/22/rep-massie-mit-grad-questions-obamas-global-warmin/
Thomas R. Carper,23-Jan-47,15-Dec-16,69,M,513 Hart Senate Office Building Washington DC 20510,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov,202-224-2441,Democratic,3-Jan-83,3-Jan-19,33,35,DE,Delaware,,513 Hart Senate Office Building,sen,2018,Yes,,,
Tim Huelskamp,11-Nov-68,15-Dec-16,48,M,1110 Longworth HOB; Washington DC 20515-1601,https://huelskamp.house.gov/contact/email-me,http://huelskamp.house.gov,202-225-2715,Republican,5-Jan-11,3-Jan-17,5,42,KS,Kansas,2,1110 Longworth House Office Building,rep,2018,No,"Shortly after the pope's speech, Rep. Tim Huelskamp (R-Kan.) told The Huffington Post that climate change is not 'settled science,' so he didn't feel the same sense of urgency as his church's top leader. 'I don't think there's a scientific consensus on that,' Huelskamp said. 'If you want to print that life begins at conception, that's settled science.'""","Huffington Post, 9/24/15",http://www.huffingtonpost.com/entry/pope-congress-climate-change-immigration_us_56042de8e4b08820d91bf69d
Tim Kaine,26-Feb-58,15-Dec-16,58,M,231 Russell Senate Office Building Washington DC 20510,http://www.kaine.senate.gov/contact,http://www.kaine.senate.gov,202-224-4024,Democratic,3-Jan-13,3-Jan-19,3,54,VA,Virginia,,231 Russell Senate Office Building,sen,2018,Yes,,,
Tim Murphy,11-Sep-52,15-Dec-16,64,M,2332 Rayburn HOB; Washington DC 20515-3818,https://murphy.house.gov/contact-me,http://murphy.house.gov,202-225-2301,Republican,7-Jan-03,3-Jan-17,13,50,PA,Pennsylvania,19,2332 Rayburn House Office Building,rep,2018,No,ñI think it is dangerous science for Congress to declare climate theory a fact.î,"ThinkProgress, 3/15/11",http://thinkprogress.org/climate/2011/03/15/174947/koch-committee-climate-denial/
Tim Ryan,16-Jul-73,15-Dec-16,43,M,1421 Longworth HOB; Washington DC 20515-3513,http://timryanforms.house.gov/contact/,http://timryan.house.gov,202-225-5261,Democratic,7-Jan-03,3-Jan-17,13,29,OH,Ohio,14,1421 Longworth House Office Building,rep,2018,Yes,,,
Tim Scott,19-Sep-65,15-Dec-16,51,M,520 Hart Senate Office Building Washington DC 20510,http://www.scott.senate.gov/contact/email-me,https://www.scott.senate.gov,202-224-6121,Republican,5-Jan-11,3-Jan-17,5,45,SC,South Carolina,,520 Hart Senate Office Building,sen,2022,No,,,
Tim Walberg,12-Apr-51,15-Dec-16,65,M,2436 Rayburn HOB; Washington DC 20515-2207,https://walberg.house.gov/contact/contactform.htm,http://walberg.house.gov,202-225-6276,Republican,4-Jan-07,3-Jan-17,9,55,MI,Michigan,8,2436 Rayburn House Office Building,rep,2018,No,"I read scientists, editors. an equal number at the very least that say just the opposite that this is something that's gone on for eons, that we go through these cycles.","Town Hall, 7/25/08",https://www.youtube.com/watch?v=sEKfDBRDmUM
Timothy J. Walz,6-Apr-64,15-Dec-16,52,M,1034 Longworth HOB; Washington DC 20515-2301,http://walz.house.gov/contact,http://walz.house.gov,202-225-2472,Democratic,4-Jan-07,3-Jan-17,9,42,MN,Minnesota,2,1034 Longworth House Office Building,rep,2018,Yes,,,
Todd C. Young,24-Aug-72,15-Dec-16,44,M,1007 Longworth HOB; Washington DC 20515-1409,https://toddyoungforms.house.gov/give-me-your-opinion,http://toddyoung.house.gov,202-225-5315,Republican,5-Jan-11,3-Jan-17,5,38,IN,Indiana,10,1007 Longworth House Office Building,rep,2018,No,"During his first campaign, Young said he strongly opposed cap and trade and other unilateral measures to combat global warming and that he was uncertain what is causing the observed heating of the planet, adding that it could be caused by sunspots or the normal cycles of nature. ñThe science is not settled,î he said in an interview with the New York Times. According to the Times, ñhe said that given the scientific uncertainty, it was not wise to make major changes in the nationÍs energy economy to reduce carbon emissions.î","New York Times, 10/20/10",http://www.nytimes.com/2010/10/21/us/politics/21climate.html?_r=3&
Todd Rokita,9-Feb-70,15-Dec-16,46,M,1717 Longworth HOB; Washington DC 20515-1404,https://rokita.house.gov/contact-me,http://rokita.house.gov,202-225-5037,Republican,5-Jan-11,3-Jan-17,5,40,IN,Indiana,5,1717 Longworth House Office Building,rep,2018,No,"We also agree that the science behind climate change is not conclusive. Meanwhile, most human emissions, which are far less than natural CO2 emissions, derive from electricity, transportation, and industry. These are the engines of change that have modernized and improved our lives.","Todd Rokita Website, 9/14/15",https://rokita.house.gov/press-release/rokita-statement-pope-francis%E2%80%99s-historic-visit
Tom Cole,28-Apr-49,15-Dec-16,67,M,2467 Rayburn HOB; Washington DC 20515-3604,https://coleforms.house.gov/contact/default.aspx,http://cole.house.gov,202-225-6165,Republican,7-Jan-03,3-Jan-17,13,53,OK,Oklahoma,5,2467 Rayburn House Office Building,rep,2018,No,,,
Tom Cotton,13-May-77,15-Dec-16,39,M,124 Russell Senate Office Building Washington DC 20510,https://cotton.house.gov/contact/email-me,https://www.cotton.senate.gov,202-224-2353,Republican,3-Jan-13,3-Jan-21,3,35,AR,Arkansas,,124 Russell Senate Office Building,sen,2020,No,"The simple fact is that for the last 16 years the earth's temperature has not warmed. That's the facts...Now, there's no doubt that the temperature has risen over the past 150, 200 years. It's most likely that human activity has contributed to some of that.","Arkansas Times, 9/25/14",http://www.arktimes.com/ArkansasBlog/archives/2014/09/25/cotton-on-climate-change-yes-its-probably-real-but-let-the-market-handle-it
Tom Emmer,3-Mar-61,15-Dec-16,55,M,503 Cannon HOB; Washington DC 20515-2306,,https://emmer.house.gov,202-225-2331,Republican,6-Jan-15,3-Jan-17,1,53,MN,Minnesota,7,503 Cannon House Office Building,rep,2018,No,"Biodiversity, diversity to me means you've got to look at both sides. You know what, the empirical evidence does not support this and the other reps that have talked. There is another side. Just because we make these chambers available to Will Steger and the crowd that wants to rely on Al Gore's climate porn doesn't mean that that's the way it is. There is another side to the story, one that we tried to present a couple of months ago, but apparently it's frowned upon by the folks that are in control so it doesn't get the same play in this room. Folks, there is another side.","ThinkProgress, 10/13/10",http://thinkprogress.org/climate/2010/10/13/174814/gop-governor-deniers-ii/
Tom Graves,3-Feb-70,15-Dec-16,46,M,2442 Rayburn HOB; Washington DC 20515-1014,http://tomgraves.house.gov/contact/,http://tomgraves.house.gov,202-225-5211,Republican,8-Jun-10,3-Jan-17,6,40,GA,Georgia,15,2442 Rayburn House Office Building,rep,2018,No,,,
Tom Marino,15-Aug-52,15-Dec-16,64,M,410 Cannon HOB; Washington DC 20515-3810,https://marino.house.gov/contact-me/email-me,http://marino.house.gov,202-225-3731,Republican,5-Jan-11,3-Jan-17,5,58,PA,Pennsylvania,11,410 Cannon House Office Building,rep,2018,No,,,
Tom McClintock,10-Jul-56,15-Dec-16,60,M,2331 Rayburn HOB; Washington DC 20515-0504,https://mcclintockforms.house.gov/forms/contact-form.shtml,http://mcclintock.house.gov,202-225-2511,Republican,6-Jan-09,3-Jan-17,7,52,CA,California,5,2331 Rayburn House Office Building,rep,2018,No,"The planet has been warming ‹ on and off ‹ since the last ice age, when glaciers covered much of North America. The climate has been changing since the planet formed, often much more abruptly than it has in recent millennia. Until the earth begins moving into its next ice age, we can reasonably expect it to continue to warm. That will mean less water can be stored in snow packs and therefore more will need to be stored behind dams.","Congressman Tom McClintock, 2/27/14",https://mcclintock.house.gov/newsroom/speeches/california-water-its-the-storage
Tom Price,8-Oct-54,15-Dec-16,62,M,100 Cannon HOB; Washington DC 20515-1006,https://tomprice.house.gov/contact-me,https://tomprice.house.gov,202-225-4501,Republican,4-Jan-05,3-Jan-17,11,50,GA,Georgia,7,100 Cannon House Office Building,rep,2018,No,"This decision goes against all common sense, especially considering the many recent revelations of errors and obfuscation in the allegedly 'settled science' of global warming.",Republican Study Committee via VoteSmart,https://votesmart.org/public-statement/490191/republicans-continue-to-fight-national-energy-tax#.VsRk2jYrKRs
Tom Reed,18-Nov-71,15-Dec-16,45,M,2437 Rayburn HOB; Washington DC 20515-3223,https://reed.house.gov/contact-me/email-me,http://reed.house.gov,202-225-3161,Republican,18-Nov-10,3-Jan-17,6,39,NY,New York,24,2437 Rayburn House Office Building,rep,2018,No,,,
Tom Rice,4-Aug-57,15-Dec-16,59,M,223 Cannon HOB; Washington DC 20515-4007,https://tomriceforms.house.gov/forms/writeyourrep/,http://rice.house.gov,202-225-9895,Republican,3-Jan-13,3-Jan-17,3,55,SC,South Carolina,8,223 Cannon House Office Building,rep,2018,No,,,
Tom Udall,18-May-48,15-Dec-16,68,M,531 Hart Senate Office Building Washington DC 20510,http://www.tomudall.senate.gov/?p=contact,http://www.tomudall.senate.gov,202-224-6621,Democratic,6-Jan-99,3-Jan-21,17,50,NM,New Mexico,,531 Hart Senate Office Building,sen,2020,Yes,,,
Tony Cardenas,31-Mar-63,15-Dec-16,53,M,1510 Longworth HOB; Washington DC 20515-0529,https://cardenas.house.gov/contact/email-me,http://cardenas.house.gov,202-225-6131,Democratic,3-Jan-13,3-Jan-17,3,49,CA,California,30,1510 Longworth House Office Building,rep,2018,Yes,,,
